MAT-0   
MAT-1   2088.1684979906 325.6675173558
MAT-2   145.6239331992 303.4866662900
MAT-3   575.2251350280 1098.0560737744
MAT-4   313.7287513061 585.9157883371
MAT-5   1957.4203061296 613.8320060165
MAT-6   89.5889938302 264.1512374079
MAT-7   855.3998318730 2509.8538016215
MAT-8   182.9805594452 264.1512374079
MAT-9   145.6239331992 325.6675173558
MAT-10   519.1901956591 1542.9688580030
MAT-11   519.1901956591 1542.9688580030
MAT-12   1042.1829631029 2789.0167947621
MAT-13   1042.1829631029 2789.0167947621
MAT-14   3059.4407803863 2436.4998561765
MAT-15   201.6588725682 217.8246905941
MAT-16   1639.8889830387 2307.6600428627
MAT-17   351.0853775521 432.4342126621
MAT-18   425.7986300441 694.8734154297
MAT-19   182.9805594452 312.5479590619
MAT-20   892.7564581189 1722.4605240904
MAT-21   2293.6299423435 1574.3059180098
MAT-22   388.4420037981 478.3982378888
MAT-23   4236.1745071349 4984.8355079114
MAT-24   2181.5600636055 346.4311000841
MAT-25   276.3721250601 425.9310721029
MAT-26   276.3721250601 425.9310721029
MAT-27   201.6588725682 274.5140184436
MAT-28   276.3721250601 391.7996014458
MAT-29   3526.3986084611 1496.1317152142
MAT-30   2125.5251242366 3094.9688670563
MAT-31   369.7636906751 118.1320246369
MAT-32   220.3371856912 384.6100071438
MAT-33   164.3022463222 492.7677437292
MAT-34   967.4697106109 1706.1798135221
MAT-35   369.7636906751 391.7996014458
MAT-36   3619.7901740761 1394.7585558542
MAT-37   182.9805594452 334.1278227843
MAT-38   3545.0769215841 3078.2404050424
MAT-39   295.0504381831 321.3538498473
MAT-120   276.3721250601 167.0639113922
MAT-121   239.0154988142 253.3649662566
MAT-122   239.0154988142 253.3649662566
MAT-123   519.1901956591 1006.5514009599
MAT-124   164.3022463222 321.3538498473
MAT-125   2835.3010229103 1647.9311583446
MAT-126   201.6588725682 247.7958253830
MAT-127   1378.3925993168 2064.4395171013
MAT-128   1378.3925993168 2064.4395171013
MAT-129   351.0853775521 629.5450555385
MAT-130   407.1203169211 325.6675173558
