MAT-0   
MAT-1   1406.76100 7842.693860
MAT-2   3.23006 0.000317
MAT-3   1503.09879 5990.317114
MAT-4   3.22975 0.000937
MAT-5   -4436.32799 8898.395080
MAT-6   -nan nan
MAT-7   91.17267 352.278121
MAT-8   3.30152 0.286474
MAT-9   3.23010 0.000093
MAT-10   552.02540 2195.123138
MAT-11   552.01366 2195.133715
MAT-12   -2648.80862 12106.420432
MAT-13   -2648.64475 12106.548100
MAT-14   8436.93417 37627.647912
MAT-15   3.19357 0.105402
MAT-16   12513.65757 44248.295944
MAT-17   3.26151 0.084209
MAT-18   5.19915 6.106720
MAT-19   3.43851 0.872976
MAT-20   41.09760 435.608494
MAT-21   651.01445 1752.524709
MAT-22   3.22996 0.000212
MAT-23   -nan nan
MAT-24   -4216.93148 18932.057253
MAT-25   3.22876 0.005212
MAT-26   3.22876 0.005212
MAT-27   4.19242 2.407872
MAT-28   3.23019 0.000618
MAT-29   -2090.47709 7706.994131
MAT-30   3743.15521 27894.154800
MAT-31   3.58119 0.746316
MAT-32   -nan nan
MAT-33   3.79118 2.244592
MAT-34   69.96736 2345.593754
MAT-35   3.23005 0.000420
MAT-36   27078.06584 91418.062052
MAT-37   -nan nan
MAT-38   10182.03325 29660.465560
MAT-39   3.24469 0.018148
MAT-120   3.70106 1.339635
MAT-121   3.23021 0.000713
MAT-122   3.23021 0.000713
MAT-123   1103.55527 4399.466384
MAT-124   3.22993 0.000513
MAT-125   484.76408 3459.783534
MAT-126   3.51459 1.138268
MAT-127   -758.19143 5216.674879
MAT-128   -856.66182 5891.318277
MAT-129   3.22883 0.003374
MAT-130   3.22976 0.000617
MAT-131   12202.62664 29300.111117
MAT-132   3.22985 0.000289
MAT-133   1796.96868 3119.156497
MAT-134   3.21309 0.067206
MAT-135   -inf nan
MAT-136   -nan nan
MAT-137   3.19347 0.146871
MAT-138   3.23047 0.001686
MAT-139   -nan nan
MAT-140   3.23001 0.000168
MAT-141   3.23001 0.000168
MAT-142   3.33281 0.319229
MAT-143   3.22798 0.008099
MAT-144   5.46966 8.758202
MAT-145   13.59057 40.526335
MAT-146   4.49977 5.080427
MAT-147   133.54129 515.377575
MAT-148   3.22998 0.000174
MAT-149   3.63647 1.653648
MAT-150   1830.28709 8138.716017
MAT-151   3.23266 0.010719
MAT-152   17601.14645 53292.068569
MAT-153   -nan nan
MAT-154   591.50120 2365.225433
MAT-155   3.23004 0.000546
MAT-156   3.55055 1.056372
MAT-157   3.27361 0.664777
MAT-158   3.23004 0.000178
MAT-159   32058.74973 70486.317159
MAT-160   3.22933 0.002968
MAT-161   3.23013 0.000561
MAT-162   -nan nan
MAT-163   66.14857 158.514347
MAT-164   3.23029 0.003887
MAT-165   7207.68933 12474.413619
MAT-166   3.88034 2.574940
MAT-167   3.23001 0.000150
MAT-168   3.22516 0.023965
MAT-169   3.22989 0.000248
MAT-170   -nan nan
MAT-171   -nan nan
MAT-172   1374.34924 3574.383089
MAT-173   24.31346 84.334077
MAT-174   3206.29258 12179.240063
MAT-175   1773.28152 7042.601355
MAT-176   -nan nan
MAT-177   1494.13967 6028.433236
MAT-178   3.23004 0.000303
MAT-179   -3443.92081 15950.583743
MAT-180   3.23006 0.000177
MAT-181   3.25413 0.081443
MAT-182   3.23012 0.000616
MAT-183   3.31348 0.188693
MAT-184   4.57188 4.255032
MAT-185   3.23006 0.000400
MAT-186   3.25177 0.054839
MAT-187   3.23021 0.000801
MAT-188   3.75820 2.454446
MAT-189   -nan nan
MAT-190   -nan nan
MAT-191   24374.80873 102623.800832
MAT-192   3.23518 0.049634
MAT-193   -3349.01882 11639.608464
MAT-194   3.23014 0.000386
MAT-195   -8515.30954 33832.173672
MAT-196   4473.54630 17873.375584
MAT-197   2215.52308 8849.745291
MAT-198   3.23108 0.003923
MAT-199   429.35127 1704.565469
MAT-200   3.22996 0.000351
MAT-201   3.22996 0.000351
MAT-202   3.22820 0.007064
MAT-203   3.22995 0.000133
MAT-204   -3565.69342 12888.406840
MAT-205   3.23001 0.005930
MAT-206   3.26285 0.200749
MAT-207   3.23000 0.000294
MAT-208   -19259.55617 69708.398697
MAT-209   3.23009 0.000334
MAT-210   3.23023 0.000832
MAT-211   -nan nan
MAT-212   1236.20273 4929.338423
