MAT-0   
MAT-1   86.6666666667 25.4950975680
MAT-2   10.8333333333 13.5400640077
MAT-3   103.3333333333 14.3372087784
MAT-4   18.3333333333 26.1406452356
MAT-5   91.6666666667 63.0255680040
MAT-6   17.5000000000 20.6827894100
MAT-7   93.3333333333 31.0017920629
MAT-8   13.3333333333 9.7182531581
MAT-9   10.0000000000 15.4560308258
MAT-10   11.6666666667 18.5592145428
MAT-11   10.0000000000 8.4983658560
MAT-12   23.3333333333 13.5400640077
MAT-13   15.8333333333 21.9848432638
MAT-14   100.8333333333 17.7951304201
MAT-15   100.0000000000 17.4801474695
MAT-16   64.1666666667 87.3371500438
MAT-17   93.3333333333 27.6887462097
MAT-18   69.1666666667 87.9709548026
MAT-19   78.3333333333 54.6198986939
MAT-20   14.1666666667 18.7082869339
MAT-21   93.3333333333 35.1978534699
MAT-22   16.6666666667 10.5409255339
MAT-23   107.5000000000 27.5882422621
MAT-24   104.1666666667 13.9443337756
MAT-25   16.6666666667 9.1287092918
MAT-26   17.5000000000 17.7951304201
MAT-27   42.5000000000 80.6914562461
MAT-28   15.0000000000 6.6666666667
MAT-29   125.0000000000 61.6891850777
MAT-30   95.8333333333 17.4801474695
MAT-31   97.5000000000 11.3038833052
MAT-32   11.6666666667 14.3372087784
MAT-33   20.0000000000 28.5773803325
MAT-34   73.3333333333 65.1067499487
MAT-35   20.8333333333 17.4801474695
MAT-36   20.8333333333 17.4801474695
MAT-37   20.8333333333 5.2704627669
MAT-38   88.3333333333 52.0149551144
MAT-39   14.1666666667 15.4560308258
MAT-120   80.0000000000 43.5889894354
MAT-121   7.5000000000 9.7182531581
MAT-122   15.0000000000 11.3038833052
MAT-123   97.5000000000 18.7082869339
MAT-124   11.6666666667 14.3372087784
MAT-125   94.1666666667 27.1825107172
MAT-126   14.1666666667 8.4983658560
MAT-127   73.3333333333 77.0281333886
MAT-128   100.0000000000 29.8142397000
MAT-129   19.1666666667 17.1593835683
MAT-130   25.8333333333 22.6077666104
MAT-131   107.5000000000 21.9848432638
MAT-132   20.0000000000 15.2752523165
MAT-133   58.3333333333 82.9993306533
